FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
54bbe903b99e70eb,http://94.237.57.211:40271/stats/54bbe903b99e70eb_index.html/stats.txt,,632,404,52,4,3,text/html,81.290123ms,,85ed4278
d2cd448bb8a8a6cf,http://94.237.57.211:40271/stats/d2cd448bb8a8a6cf_index.html/stats.txt,,631,404,52,4,3,text/html,81.648763ms,,85ed4277
fa12d169259f3ca8,http://94.237.57.211:40271/stats/fa12d169259f3ca8_index.html/stats.txt,,648,404,52,4,3,text/html,79.030321ms,,85ed4288
44b9dc838d1aa96a,http://94.237.57.211:40271/stats/44b9dc838d1aa96a_index.html/stats.txt,,727,404,52,4,3,text/html,79.152819ms,,85ed42d7
5426e7ae329c51c9,http://94.237.57.211:40271/stats/5426e7ae329c51c9_index.html/stats.txt,,718,404,52,4,3,text/html,79.22395ms,,85ed42ce
7744d0131994ba34,http://94.237.57.211:40271/stats/7744d0131994ba34_index.html/stats.txt,,647,404,52,4,3,text/html,80.37511ms,,85ed4287
7a70496cf6c042f1,http://94.237.57.211:40271/stats/7a70496cf6c042f1_index.html/stats.txt,,719,404,52,4,3,text/html,80.461955ms,,85ed42cf
1834df1dfd69f494,http://94.237.57.211:40271/stats/1834df1dfd69f494_index.html/stats.txt,,638,404,52,4,3,text/html,80.53428ms,,85ed427e
97de1e7ff28677d5,http://94.237.57.211:40271/stats/97de1e7ff28677d5_index.html/stats.txt,,715,404,52,4,3,text/html,80.824275ms,,85ed42cb
fe39ebe7921527e6,http://94.237.57.211:40271/stats/fe39ebe7921527e6_index.html/stats.txt,,721,404,52,4,3,text/html,81.391585ms,,85ed42d1
e6097117b08cd059,http://94.237.57.211:40271/stats/e6097117b08cd059_index.html/stats.txt,,720,404,52,4,3,text/html,82.663495ms,,85ed42d0
91b4ea725e017819,http://94.237.57.211:40271/stats/91b4ea725e017819_index.html/stats.txt,,649,404,52,4,3,text/html,75.354436ms,,85ed4289
3e56d17337108ee2,http://94.237.57.211:40271/stats/3e56d17337108ee2_index.html/stats.txt,,738,404,52,4,3,text/html,74.916889ms,,85ed42e2
ab0e8f8f866d3ce4,http://94.237.57.211:40271/stats/ab0e8f8f866d3ce4_index.html/stats.txt,,735,404,52,4,3,text/html,81.859855ms,,85ed42df
567f914c3fd33e25,http://94.237.57.211:40271/stats/567f914c3fd33e25_index.html/stats.txt,,723,404,52,4,3,text/html,79.45121ms,,85ed42d3
42ef35f4e2c15437,http://94.237.57.211:40271/stats/42ef35f4e2c15437_index.html/stats.txt,,736,404,52,4,3,text/html,80.785206ms,,85ed42e0
549ef4ff6fa90194,http://94.237.57.211:40271/stats/549ef4ff6fa90194_index.html/stats.txt,,733,404,52,4,3,text/html,81.009325ms,,85ed42dd
5ed5b351b2f38b60,http://94.237.57.211:40271/stats/5ed5b351b2f38b60_index.html/stats.txt,,732,404,52,4,3,text/html,81.782742ms,,85ed42dc
5f4836cef13763dd,http://94.237.57.211:40271/stats/5f4836cef13763dd_index.html/stats.txt,,737,404,52,4,3,text/html,81.099ms,,85ed42e1
1e1e71a48bad88ce,http://94.237.57.211:40271/stats/1e1e71a48bad88ce_index.html/stats.txt,,739,404,52,4,3,text/html,75.362366ms,,85ed42e3
9dbdc27f7e17b6dd,http://94.237.57.211:40271/stats/9dbdc27f7e17b6dd_index.html/stats.txt,,740,404,52,4,3,text/html,80.342151ms,,85ed42e4
ddaf3d8d3c0de63a,http://94.237.57.211:40271/stats/ddaf3d8d3c0de63a_index.html/stats.txt,,724,404,52,4,3,text/html,79.554736ms,,85ed42d4
ec07f3f334e13f1b,http://94.237.57.211:40271/stats/ec07f3f334e13f1b_index.html/stats.txt,,734,404,52,4,3,text/html,80.288932ms,,85ed42de
e40be0f6ff24ef7f,http://94.237.57.211:40271/stats/e40be0f6ff24ef7f_index.html/stats.txt,,660,404,52,4,3,text/html,74.326729ms,,85ed4294
de7816ad21512e21,http://94.237.57.211:40271/stats/de7816ad21512e21_index.html/stats.txt,,501,404,52,4,3,text/html,74.400227ms,,85ed41f5
95e98e8c293417eb,http://94.237.57.211:40271/stats/95e98e8c293417eb_index.html/stats.txt,,500,404,52,4,3,text/html,74.994911ms,,85ed41f4
5fecac51240f2e62,http://94.237.57.211:40271/stats/5fecac51240f2e62_index.html/stats.txt,,741,404,52,4,3,text/html,79.445117ms,,85ed42e5
a32e8bd3cc2f5516,http://94.237.57.211:40271/stats/a32e8bd3cc2f5516_index.html/stats.txt,,661,404,52,4,3,text/html,76.733852ms,,85ed4295
65ffd59c0f647e2d,http://94.237.57.211:40271/stats/65ffd59c0f647e2d_index.html/stats.txt,,742,404,52,4,3,text/html,80.15585ms,,85ed42e6
4caf2b18df802e49,http://94.237.57.211:40271/stats/4caf2b18df802e49_index.html/stats.txt,,665,404,52,4,3,text/html,76.80376ms,,85ed4299
c271502b8191bdcc,http://94.237.57.211:40271/stats/c271502b8191bdcc_index.html/stats.txt,,499,404,52,4,3,text/html,76.875378ms,,85ed41f3
a6902ea5b41e2457,http://94.237.57.211:40271/stats/a6902ea5b41e2457_index.html/stats.txt,,664,404,52,4,3,text/html,79.053441ms,,85ed4298
001fff5d3271cb86,http://94.237.57.211:40271/stats/001fff5d3271cb86_index.html/stats.txt,,498,404,52,4,3,text/html,79.563906ms,,85ed41f2
304fe34d549bb038,http://94.237.57.211:40271/stats/304fe34d549bb038_index.html/stats.txt,,663,404,52,4,3,text/html,80.200811ms,,85ed4297
6aa3406bb2c33087,http://94.237.57.211:40271/stats/6aa3406bb2c33087_index.html/stats.txt,,662,404,52,4,3,text/html,80.968554ms,,85ed4296
3440b088db60c181,http://94.237.57.211:40271/stats/3440b088db60c181_index.html/stats.txt,,667,404,52,4,3,text/html,81.591188ms,,85ed429b
236fb4d532e55c63,http://94.237.57.211:40271/stats/236fb4d532e55c63_index.html/stats.txt,,666,404,52,4,3,text/html,81.259803ms,,85ed429a
32962a5bca4246a9,http://94.237.57.211:40271/stats/32962a5bca4246a9_index.html/stats.txt,,504,404,52,4,3,text/html,81.992406ms,,85ed41f8
51ac96cde0c5c058,http://94.237.57.211:40271/stats/51ac96cde0c5c058_index.html/stats.txt,,654,404,52,4,3,text/html,80.646988ms,,85ed428e
82efd10d9c59db39,http://94.237.57.211:40271/stats/82efd10d9c59db39_index.html/stats.txt,,743,404,52,4,3,text/html,78.751474ms,,85ed42e7
