FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
9b9419ede67f154a,http://94.237.57.211:40271/stats/9b9419ede67f154a_index.html/stats.txt,,22,404,52,4,3,text/html,92.07346ms,,8caba16
20ef13cb9ee78e99,http://94.237.57.211:40271/stats/20ef13cb9ee78e99_index.html/stats.txt,,7,404,52,4,3,text/html,94.790475ms,,8caba7
93a8fdb01c403d23,http://94.237.57.211:40271/stats/93a8fdb01c403d23_index.html/stats.txt,,17,404,52,4,3,text/html,99.908405ms,,8caba11
fbf9bbc1562450ec,http://94.237.57.211:40271/stats/fbf9bbc1562450ec_index.html/stats.txt,,4,404,52,4,3,text/html,98.956412ms,,8caba4
5ce3ebfaca7994ab,http://94.237.57.211:40271/stats/5ce3ebfaca7994ab_index.html/stats.txt,,11,404,52,4,3,text/html,100.33494ms,,8cabab
670399f1c0a7d13d,http://94.237.57.211:40271/stats/670399f1c0a7d13d_index.html/stats.txt,,62,404,52,4,3,text/html,96.004426ms,,8caba3e
962d7f3032fd998c,http://94.237.57.211:40271/stats/962d7f3032fd998c_index.html/stats.txt,,16,404,52,4,3,text/html,129.337603ms,,8caba10
8c3368d700f46ef9,http://94.237.57.211:40271/stats/8c3368d700f46ef9_index.html/stats.txt,,67,404,52,4,3,text/html,127.703489ms,,8caba43
70930c94006dd020,http://94.237.57.211:40271/stats/70930c94006dd020_index.html/stats.txt,,10,404,52,4,3,text/html,135.376289ms,,8cabaa
cf5518a6168764d2,http://94.237.57.211:40271/stats/cf5518a6168764d2_index.html/stats.txt,,9,404,52,4,3,text/html,130.902949ms,,8caba9
f9de3a1bf279d433,http://94.237.57.211:40271/stats/f9de3a1bf279d433_index.html/stats.txt,,23,404,52,4,3,text/html,138.662376ms,,8caba17
18b38ed7abafd4c2,http://94.237.57.211:40271/stats/18b38ed7abafd4c2_index.html/stats.txt,,3,404,52,4,3,text/html,139.331484ms,,8caba3
da0732a892842cbf,http://94.237.57.211:40271/stats/da0732a892842cbf_index.html/stats.txt,,39,404,52,4,3,text/html,138.616317ms,,8caba27
d39ef00ce882cf6b,http://94.237.57.211:40271/stats/d39ef00ce882cf6b_index.html/stats.txt,,72,404,52,4,3,text/html,138.028401ms,,8caba48
5a960f701d74438d,http://94.237.57.211:40271/stats/5a960f701d74438d_index.html/stats.txt,,13,404,52,4,3,text/html,136.573999ms,,8cabad
4c2c3585e4be9194,http://94.237.57.211:40271/stats/4c2c3585e4be9194_index.html/stats.txt,,60,404,52,4,3,text/html,139.434178ms,,8caba3c
b5a1a6239d3a36d9,http://94.237.57.211:40271/stats/b5a1a6239d3a36d9_index.html/stats.txt,,32,404,52,4,3,text/html,138.687441ms,,8caba20
2afdfe463d3c6acd,http://94.237.57.211:40271/stats/2afdfe463d3c6acd_index.html/stats.txt,,21,404,52,4,3,text/html,383.840603ms,,8caba15
e0495a376dab234d,http://94.237.57.211:40271/stats/e0495a376dab234d_index.html/stats.txt,,8,404,52,4,3,text/html,383.931739ms,,8caba8
d75a3d0b438c20a9,http://94.237.57.211:40271/stats/d75a3d0b438c20a9_index.html/stats.txt,,200,404,52,4,3,text/html,393.981612ms,,8cabac8
393c96a62db6aa65,http://94.237.57.211:40271/stats/393c96a62db6aa65_index.html/stats.txt,,175,404,52,4,3,text/html,376.863761ms,,8cabaaf
41f4bb04ea20e177,http://94.237.57.211:40271/stats/41f4bb04ea20e177_index.html/stats.txt,,173,404,52,4,3,text/html,375.209228ms,,8cabaad
8f6d6166e0c2dbfe,http://94.237.57.211:40271/stats/8f6d6166e0c2dbfe_index.html/stats.txt,,153,404,52,4,3,text/html,373.537304ms,,8caba99
7a50a206d17c65a6,http://94.237.57.211:40271/stats/7a50a206d17c65a6_index.html/stats.txt,,89,404,52,4,3,text/html,378.296053ms,,8caba59
9f2375ac8c81da5e,http://94.237.57.211:40271/stats/9f2375ac8c81da5e_index.html/stats.txt,,85,404,52,4,3,text/html,380.457144ms,,8caba55
4209ebd74b1f8aef,http://94.237.57.211:40271/stats/4209ebd74b1f8aef_index.html/stats.txt,,95,404,52,4,3,text/html,380.886198ms,,8caba5f
d82e29062b72835c,http://94.237.57.211:40271/stats/d82e29062b72835c_index.html/stats.txt,,152,404,52,4,3,text/html,382.52099ms,,8caba98
9da1f810bb2228c2,http://94.237.57.211:40271/stats/9da1f810bb2228c2_index.html/stats.txt,,186,404,52,4,3,text/html,376.425937ms,,8cababa
a6eefd1334e94e15,http://94.237.57.211:40271/stats/a6eefd1334e94e15_index.html/stats.txt,,196,404,52,4,3,text/html,375.740739ms,,8cabac4
311dea04d7736175,http://94.237.57.211:40271/stats/311dea04d7736175_index.html/stats.txt,,149,404,52,4,3,text/html,386.696021ms,,8caba95
d1f98e029092e385,http://94.237.57.211:40271/stats/d1f98e029092e385_index.html/stats.txt,,174,404,52,4,3,text/html,377.653012ms,,8cabaae
ad8eef7665b88aa3,http://94.237.57.211:40271/stats/ad8eef7665b88aa3_index.html/stats.txt,,188,404,52,4,3,text/html,381.409472ms,,8cababc
f4a759116df12003,http://94.237.57.211:40271/stats/f4a759116df12003_index.html/stats.txt,,171,404,52,4,3,text/html,390.670123ms,,8cabaab
a9a0fec5197bd8dc,http://94.237.57.211:40271/stats/a9a0fec5197bd8dc_index.html/stats.txt,,105,404,52,4,3,text/html,402.578601ms,,8caba69
4813933b20cc23dd,http://94.237.57.211:40271/stats/4813933b20cc23dd_index.html/stats.txt,,131,404,52,4,3,text/html,404.408928ms,,8caba83
19974b3a8a7f80ec,http://94.237.57.211:40271/stats/19974b3a8a7f80ec_index.html/stats.txt,,166,404,52,4,3,text/html,408.754444ms,,8cabaa6
42fe2922c00520d3,http://94.237.57.211:40271/stats/42fe2922c00520d3_index.html/stats.txt,,157,404,52,4,3,text/html,412.303907ms,,8caba9d
a5ed75d3a31f3885,http://94.237.57.211:40271/stats/a5ed75d3a31f3885_index.html/stats.txt,,179,404,52,4,3,text/html,411.859411ms,,8cabab3
ef34064f421f4c7c,http://94.237.57.211:40271/stats/ef34064f421f4c7c_index.html/stats.txt,,121,404,52,4,3,text/html,424.281998ms,,8caba79
079eebaabd232f39,http://94.237.57.211:40271/stats/079eebaabd232f39_index.html/stats.txt,,183,404,52,4,3,text/html,415.406174ms,,8cabab7
348088544dac31cc,http://94.237.57.211:40271/stats/348088544dac31cc_index.html/stats.txt,,135,404,52,4,3,text/html,415.53367ms,,8caba87
7dd650c5cb2aca44,http://94.237.57.211:40271/stats/7dd650c5cb2aca44_index.html/stats.txt,,59,404,52,4,3,text/html,675.52701ms,,8caba3b
7d2c91d9d261e141,http://94.237.57.211:40271/stats/7d2c91d9d261e141_index.html/stats.txt,,33,404,52,4,3,text/html,678.616492ms,,8caba21
41bee874bb81004e,http://94.237.57.211:40271/stats/41bee874bb81004e_index.html/stats.txt,,20,404,52,4,3,text/html,678.670683ms,,8caba14
d61214a08ca84b4f,http://94.237.57.211:40271/stats/d61214a08ca84b4f_index.html/stats.txt,,15,404,52,4,3,text/html,677.831166ms,,8cabaf
c3eee23099057d69,http://94.237.57.211:40271/stats/c3eee23099057d69_index.html/stats.txt,,12,404,52,4,3,text/html,679.698249ms,,8cabac
410386d2956957ce,http://94.237.57.211:40271/stats/410386d2956957ce_index.html/stats.txt,,178,404,52,4,3,text/html,664.003019ms,,8cabab2
68857e75db1d7f8a,http://94.237.57.211:40271/stats/68857e75db1d7f8a_index.html/stats.txt,,97,404,52,4,3,text/html,666.068059ms,,8caba61
f0de1ace40f02a75,http://94.237.57.211:40271/stats/f0de1ace40f02a75_index.html/stats.txt,,47,404,52,4,3,text/html,682.837525ms,,8caba2f
19fc9d4f9854c545,http://94.237.57.211:40271/stats/19fc9d4f9854c545_index.html/stats.txt,,191,404,52,4,3,text/html,668.20171ms,,8cababf
074f2207bdf22719,http://94.237.57.211:40271/stats/074f2207bdf22719_index.html/stats.txt,,14,404,52,4,3,text/html,704.845146ms,,8cabae
f3cfaefb19ff4562,http://94.237.57.211:40271/stats/f3cfaefb19ff4562_index.html/stats.txt,,164,404,52,4,3,text/html,669.331534ms,,8cabaa4
3886e8a85dd79385,http://94.237.57.211:40271/stats/3886e8a85dd79385_index.html/stats.txt,,96,404,52,4,3,text/html,671.303837ms,,8caba60
762a5db71a872c6a,http://94.237.57.211:40271/stats/762a5db71a872c6a_index.html/stats.txt,,51,404,52,4,3,text/html,690.386976ms,,8caba33
f74a45c6731714b5,http://94.237.57.211:40271/stats/f74a45c6731714b5_index.html/stats.txt,,98,404,52,4,3,text/html,671.412275ms,,8caba62
e816f0dd0bfc6259,http://94.237.57.211:40271/stats/e816f0dd0bfc6259_index.html/stats.txt,,38,404,52,4,3,text/html,707.478158ms,,8caba26
adc90593491add42,http://94.237.57.211:40271/stats/adc90593491add42_index.html/stats.txt,,26,404,52,4,3,text/html,708.047594ms,,8caba1a
dbc147cd06fd87ff,http://94.237.57.211:40271/stats/dbc147cd06fd87ff_index.html/stats.txt,,973,404,52,4,3,text/html,74.769253ms,,8caba3cd
c44cf03533918a5e,http://94.237.57.211:40271/stats/c44cf03533918a5e_index.html/stats.txt,,951,404,52,4,3,text/html,76.166638ms,,8caba3b7
9d9a038870e7a155,http://94.237.57.211:40271/stats/9d9a038870e7a155_index.html/stats.txt,,947,404,52,4,3,text/html,75.728425ms,,8caba3b3
46ac303c0bf13377,http://94.237.57.211:40271/stats/46ac303c0bf13377_index.html/stats.txt,,959,404,52,4,3,text/html,76.435997ms,,8caba3bf
2a70837dc0388766,http://94.237.57.211:40271/stats/2a70837dc0388766_index.html/stats.txt,,948,404,52,4,3,text/html,76.331332ms,,8caba3b4
1acbbf63c83c2c81,http://94.237.57.211:40271/stats/1acbbf63c83c2c81_index.html/stats.txt,,811,404,52,4,3,text/html,76.833955ms,,8caba32b
0b72378923856b5f,http://94.237.57.211:40271/stats/0b72378923856b5f_index.html/stats.txt,,826,404,52,4,3,text/html,76.902908ms,,8caba33a
bada27860f13365e,http://94.237.57.211:40271/stats/bada27860f13365e_index.html/stats.txt,,964,404,52,4,3,text/html,77.01317ms,,8caba3c4
3c7a9c04b6c885ce,http://94.237.57.211:40271/stats/3c7a9c04b6c885ce_index.html/stats.txt,,815,404,52,4,3,text/html,79.00096ms,,8caba32f
e31980f41cab215f,http://94.237.57.211:40271/stats/e31980f41cab215f_index.html/stats.txt,,957,404,52,4,3,text/html,79.133901ms,,8caba3bd
97d42eb645e9ef82,http://94.237.57.211:40271/stats/97d42eb645e9ef82_index.html/stats.txt,,818,404,52,4,3,text/html,79.405267ms,,8caba332
b69be3deb87b84b0,http://94.237.57.211:40271/stats/b69be3deb87b84b0_index.html/stats.txt,,972,404,52,4,3,text/html,81.966456ms,,8caba3cc
1c40866dca2a4967,http://94.237.57.211:40271/stats/1c40866dca2a4967_index.html/stats.txt,,950,404,52,4,3,text/html,89.27207ms,,8caba3b6
5e6ecc7bc121a7da,http://94.237.57.211:40271/stats/5e6ecc7bc121a7da_index.html/stats.txt,,886,404,52,4,3,text/html,75.388731ms,,8caba376
0228a60ff4b94a2a,http://94.237.57.211:40271/stats/0228a60ff4b94a2a_index.html/stats.txt,,867,404,52,4,3,text/html,76.594889ms,,8caba363
321890239607fe44,http://94.237.57.211:40271/stats/321890239607fe44_index.html/stats.txt,,885,404,52,4,3,text/html,79.302979ms,,8caba375
84450644ef65ef48,http://94.237.57.211:40271/stats/84450644ef65ef48_index.html/stats.txt,,868,404,52,4,3,text/html,79.51022ms,,8caba364
0a7ed5e981d62af3,http://94.237.57.211:40271/stats/0a7ed5e981d62af3_index.html/stats.txt,,994,404,52,4,3,text/html,79.674002ms,,8caba3e2
f148e3f2f5a276e6,http://94.237.57.211:40271/stats/f148e3f2f5a276e6_index.html/stats.txt,,875,404,52,4,3,text/html,80.000625ms,,8caba36b
febd706cc7fc4e24,http://94.237.57.211:40271/stats/febd706cc7fc4e24_index.html/stats.txt,,992,404,52,4,3,text/html,82.16361ms,,8caba3e0
a458b0aa01898ec2,http://94.237.57.211:40271/stats/a458b0aa01898ec2_index.html/stats.txt,,866,404,52,4,3,text/html,95.34813ms,,8caba362
2615ac3f0ff38070,http://94.237.57.211:40271/stats/2615ac3f0ff38070_index.html/stats.txt,,1010,404,52,4,3,text/html,75.776802ms,,8caba3f2
a6dc77749ebf3242,http://94.237.57.211:40271/stats/a6dc77749ebf3242_index.html/stats.txt,,945,404,52,4,3,text/html,76.346241ms,,8caba3b1
636f665c80d466bf,http://94.237.57.211:40271/stats/636f665c80d466bf_index.html/stats.txt,,987,404,52,4,3,text/html,102.423895ms,,8caba3db
8b13f527ebd6e318,http://94.237.57.211:40271/stats/8b13f527ebd6e318_index.html/stats.txt,,943,404,52,4,3,text/html,76.854361ms,,8caba3af
6cc464084a7b4929,http://94.237.57.211:40271/stats/6cc464084a7b4929_index.html/stats.txt,,873,404,52,4,3,text/html,103.089252ms,,8caba369
0ec6be036834ead1,http://94.237.57.211:40271/stats/0ec6be036834ead1_index.html/stats.txt,,879,404,52,4,3,text/html,103.158143ms,,8caba36f
2d0e60b6490f8187,http://94.237.57.211:40271/stats/2d0e60b6490f8187_index.html/stats.txt,,940,404,52,4,3,text/html,77.221277ms,,8caba3ac
dec7eadf5079a153,http://94.237.57.211:40271/stats/dec7eadf5079a153_index.html/stats.txt,,870,404,52,4,3,text/html,104.064942ms,,8caba366
626f1620edb7e73b,http://94.237.57.211:40271/stats/626f1620edb7e73b_index.html/stats.txt,,899,404,52,4,3,text/html,103.346979ms,,8caba383
13a884d4c92baefc,http://94.237.57.211:40271/stats/13a884d4c92baefc_index.html/stats.txt,,890,404,52,4,3,text/html,79.184205ms,,8caba37a
e443cf2e5250b50a,http://94.237.57.211:40271/stats/e443cf2e5250b50a_index.html/stats.txt,,944,404,52,4,3,text/html,81.314541ms,,8caba3b0
4102fa09610ca5fb,http://94.237.57.211:40271/stats/4102fa09610ca5fb_index.html/stats.txt,,933,404,52,4,3,text/html,79.059929ms,,8caba3a5
5bfc6b162941dcd5,http://94.237.57.211:40271/stats/5bfc6b162941dcd5_index.html/stats.txt,,1001,404,52,4,3,text/html,81.239786ms,,8caba3e9
61ba035b64b4b37a,http://94.237.57.211:40271/stats/61ba035b64b4b37a_index.html/stats.txt,,1007,404,52,4,3,text/html,81.853702ms,,8caba3ef
6e2f80702845cd1d,http://94.237.57.211:40271/stats/6e2f80702845cd1d_index.html/stats.txt,,1008,404,52,4,3,text/html,81.319342ms,,8caba3f0
16ba7c0502f9c55d,http://94.237.57.211:40271/stats/16ba7c0502f9c55d_index.html/stats.txt,,1004,404,52,4,3,text/html,81.960078ms,,8caba3ec
ec8b026e65222d06,http://94.237.57.211:40271/stats/ec8b026e65222d06_index.html/stats.txt,,1002,404,52,4,3,text/html,82.382869ms,,8caba3ea
d504b5b7c6509b92,http://94.237.57.211:40271/stats/d504b5b7c6509b92_index.html/stats.txt,,898,404,52,4,3,text/html,84.720545ms,,8caba382
1717405836316e0c,http://94.237.57.211:40271/stats/1717405836316e0c_index.html/stats.txt,,901,404,52,4,3,text/html,95.026787ms,,8caba385
53ca351ac6833f58,http://94.237.57.211:40271/stats/53ca351ac6833f58_index.html/stats.txt,,996,404,52,4,3,text/html,97.569889ms,,8caba3e4
cda3f6ba5addf57b,http://94.237.57.211:40271/stats/cda3f6ba5addf57b_index.html/stats.txt,,903,404,52,4,3,text/html,94.63679ms,,8caba387
3d062e7812adca36,http://94.237.57.211:40271/stats/3d062e7812adca36_index.html/stats.txt,,908,404,52,4,3,text/html,95.491618ms,,8caba38c
3ea9d49fb5799adb,http://94.237.57.211:40271/stats/3ea9d49fb5799adb_index.html/stats.txt,,937,404,52,4,3,text/html,96.651274ms,,8caba3a9
ae5f110a87837ace,http://94.237.57.211:40271/stats/ae5f110a87837ace_index.html/stats.txt,,927,404,52,4,3,text/html,95.238899ms,,8caba39f
780d48d0126d0f4f,http://94.237.57.211:40271/stats/780d48d0126d0f4f_index.html/stats.txt,,911,404,52,4,3,text/html,95.853029ms,,8caba38f
22d128fd68bb6b23,http://94.237.57.211:40271/stats/22d128fd68bb6b23_index.html/stats.txt,,925,404,52,4,3,text/html,96.608227ms,,8caba39d
b855276dcec148be,http://94.237.57.211:40271/stats/b855276dcec148be_index.html/stats.txt,,941,404,52,4,3,text/html,102.629438ms,,8caba3ad
efe2451e65a16535,http://94.237.57.211:40271/stats/efe2451e65a16535_index.html/stats.txt,,938,404,52,4,3,text/html,98.754465ms,,8caba3aa
acabaf2d81d920bf,http://94.237.57.211:40271/stats/acabaf2d81d920bf_index.html/stats.txt,,998,404,52,4,3,text/html,97.439578ms,,8caba3e6
fb4ad4cc9cd8e1bc,http://94.237.57.211:40271/stats/fb4ad4cc9cd8e1bc_index.html/stats.txt,,939,404,52,4,3,text/html,98.993778ms,,8caba3ab
d0137fabbb2dd6c6,http://94.237.57.211:40271/stats/d0137fabbb2dd6c6_index.html/stats.txt,,997,404,52,4,3,text/html,99.400048ms,,8caba3e5
76403ce99030486c,http://94.237.57.211:40271/stats/76403ce99030486c_index.html/stats.txt,,1009,404,52,4,3,text/html,100.192731ms,,8caba3f1
d43a0835b32ae7ee,http://94.237.57.211:40271/stats/d43a0835b32ae7ee_index.html/stats.txt,,926,404,52,4,3,text/html,97.64981ms,,8caba39e
a48ddc092e413e29,http://94.237.57.211:40271/stats/a48ddc092e413e29_index.html/stats.txt,,942,404,52,4,3,text/html,100.667145ms,,8caba3ae
50c162c6e9d7b04e,http://94.237.57.211:40271/stats/50c162c6e9d7b04e_index.html/stats.txt,,919,404,52,4,3,text/html,97.615986ms,,8caba397
2676486a2f835c46,http://94.237.57.211:40271/stats/2676486a2f835c46_index.html/stats.txt,,934,404,52,4,3,text/html,100.548497ms,,8caba3a6
922486622a47a93d,http://94.237.57.211:40271/stats/922486622a47a93d_index.html/stats.txt,,918,404,52,4,3,text/html,98.178743ms,,8caba396
dbf6cd4019fa4740,http://94.237.57.211:40271/stats/dbf6cd4019fa4740_index.html/stats.txt,,1006,404,52,4,3,text/html,100.727271ms,,8caba3ee
089f5796c3ab1a03,http://94.237.57.211:40271/stats/089f5796c3ab1a03_index.html/stats.txt,,1048,404,52,4,3,text/html,80.794369ms,,8caba418
a022c1f0ececfa4d,http://94.237.57.211:40271/stats/a022c1f0ececfa4d_index.html/stats.txt,,1056,404,52,4,3,text/html,80.640037ms,,8caba420
3e63fa2e6c9c76ec,http://94.237.57.211:40271/stats/3e63fa2e6c9c76ec_index.html/stats.txt,,1064,404,52,4,3,text/html,79.117172ms,,8caba428
7283d2a87e45431e,http://94.237.57.211:40271/stats/7283d2a87e45431e_index.html/stats.txt,,1059,404,52,4,3,text/html,81.570798ms,,8caba423
7edb60addc35264e,http://94.237.57.211:40271/stats/7edb60addc35264e_index.html/stats.txt,,1062,404,52,4,3,text/html,82.558152ms,,8caba426
32e48b48e1d14b92,http://94.237.57.211:40271/stats/32e48b48e1d14b92_index.html/stats.txt,,824,404,52,4,3,text/html,380.875647ms,,8caba338
9350491715fc4603,http://94.237.57.211:40271/stats/9350491715fc4603_index.html/stats.txt,,820,404,52,4,3,text/html,380.769584ms,,8caba334
f7603c97f245b6ba,http://94.237.57.211:40271/stats/f7603c97f245b6ba_index.html/stats.txt,,969,404,52,4,3,text/html,381.423735ms,,8caba3c9
4e6ca46a17c5c973,http://94.237.57.211:40271/stats/4e6ca46a17c5c973_index.html/stats.txt,,961,404,52,4,3,text/html,380.964593ms,,8caba3c1
ab2902ecf515f7e9,http://94.237.57.211:40271/stats/ab2902ecf515f7e9_index.html/stats.txt,,813,404,52,4,3,text/html,381.849012ms,,8caba32d
61030d2010022b2d,http://94.237.57.211:40271/stats/61030d2010022b2d_index.html/stats.txt,,953,404,52,4,3,text/html,382.030682ms,,8caba3b9
8036aa1e1782eb5e,http://94.237.57.211:40271/stats/8036aa1e1782eb5e_index.html/stats.txt,,962,404,52,4,3,text/html,380.59983ms,,8caba3c2
228508421f71bb39,http://94.237.57.211:40271/stats/228508421f71bb39_index.html/stats.txt,,814,404,52,4,3,text/html,380.99675ms,,8caba32e
