# Nmap 7.95 scan initiated Mon Oct  6 19:59:35 2025 as: nmap -p- -n -Pn --min-rate 2000 -T4 -oN /workspace/nmap_full.txt 94.237.121.49
Nmap scan report for 94.237.121.49
Host is up (0.13s latency).
Not shown: 63128 closed tcp ports (reset), 1520 filtered tcp ports (no-response), 320 filtered tcp ports (port-unreach)
PORT      STATE SERVICE
22/tcp    open  ssh
111/tcp   open  rpcbind
4240/tcp  open  vrml-multi-use
9962/tcp  open  unknown
10256/tcp open  unknown
30169/tcp open  unknown
30228/tcp open  unknown
30243/tcp open  unknown
30265/tcp open  unknown
30356/tcp open  unknown
30379/tcp open  unknown
30570/tcp open  unknown
30574/tcp open  unknown
30579/tcp open  unknown
30582/tcp open  unknown
30648/tcp open  unknown
30658/tcp open  unknown
30755/tcp open  unknown
30883/tcp open  unknown
30930/tcp open  unknown
30974/tcp open  unknown
31022/tcp open  unknown
31037/tcp open  unknown
31115/tcp open  unknown
31146/tcp open  unknown
31212/tcp open  unknown
31358/tcp open  unknown
31456/tcp open  unknown
31469/tcp open  unknown
31474/tcp open  unknown
31549/tcp open  unknown
31552/tcp open  unknown
31588/tcp open  unknown
31635/tcp open  unknown
31692/tcp open  unknown
31701/tcp open  unknown
31702/tcp open  unknown
31815/tcp open  unknown
31823/tcp open  unknown
31924/tcp open  unknown
32068/tcp open  unknown
32099/tcp open  unknown
32154/tcp open  unknown
32156/tcp open  unknown
32184/tcp open  unknown
32301/tcp open  unknown
32335/tcp open  unknown
32408/tcp open  unknown
32520/tcp open  unknown
32562/tcp open  unknown
32647/tcp open  unknown
32754/tcp open  unknown
32796/tcp open  unknown
32802/tcp open  unknown
32805/tcp open  unknown
32845/tcp open  unknown
32924/tcp open  unknown
33111/tcp open  unknown
33228/tcp open  unknown
33308/tcp open  unknown
33321/tcp open  unknown
33331/tcp open  diamondport
33488/tcp open  unknown
33491/tcp open  unknown
33543/tcp open  unknown
33728/tcp open  unknown
33733/tcp open  unknown
33773/tcp open  unknown
33802/tcp open  unknown
33834/tcp open  unknown
33869/tcp open  unknown
33948/tcp open  unknown
33982/tcp open  unknown
34022/tcp open  unknown
34036/tcp open  unknown
