1/0: uncompressed; offset = 15
2/0: uncompressed; offset = 102017
3/0: uncompressed; offset = 294
4/0: uncompressed; offset = 112272
5/0: uncompressed; offset = 124354
6/0: uncompressed; offset = 331
7/0: uncompressed; offset = 131799
8/0: uncompressed; offset = 407
9/0: uncompressed; offset = 9647
10/0: uncompressed; offset = 9807
11/0: uncompressed; offset = 9967
12/0: uncompressed; offset = 10128
13/0: uncompressed; offset = 10290
14/0: uncompressed; offset = 102330
15/0: uncompressed; offset = 13684
16/0: uncompressed; offset = 21963
17/0: uncompressed; offset = 99977
18/0: uncompressed; offset = 100138
19/0: uncompressed; offset = 102618
20/0: uncompressed; offset = 102681
21/0: uncompressed; offset = 102730
22/0: uncompressed; offset = 111029
23/0: uncompressed; offset = 111270
24/0: uncompressed; offset = 111872
25/0: uncompressed; offset = 112410
26/0: uncompressed; offset = 122877
27/0: uncompressed; offset = 123113
28/0: uncompressed; offset = 123950
29/0: uncompressed; offset = 124487
30/0: uncompressed; offset = 130978
31/0: uncompressed; offset = 131203
32/0: uncompressed; offset = 131427
33/0: uncompressed; offset = 132675
34/0: uncompressed; offset = 132765
35/0: uncompressed; offset = 132839
36/0: uncompressed; offset = 133007
37/0: uncompressed; offset = 133178
38/0: uncompressed; offset = 133383
39/0: uncompressed; offset = 133619
40/0: uncompressed; offset = 133848
