╔════════════════════════════════════════════════════════════╗
║    LEARNING ATTACK - Pattern recognition                  ║
╚════════════════════════════════════════════════════════════╝

[Round 1] Token: 253ms1GXBuAw... | DB size: 1
[Round 2] Token: vGesT2Apoy1V... | DB size: 2
[Round 3] Token: 76x4JY2IZyzd... | DB size: 3
[Round 4] Token: IOMiLLumZYZt... | DB size: 4
[Round 5] Token: GY02iL6i0btG... | DB size: 5
[Round 6] Token: a9yCcWlgbrPs... | DB size: 6
[Round 7] Token: wvAxHwPrT3Ku... | DB size: 7
[Round 8] Token: c59hrNzJOZ86... | DB size: 8
[Round 9] Token: qMoHJluQiEWN... | DB size: 9
[Round 10] Token: jasWkvOLZZG9... | DB size: 10
[Round 11] Token: Z7590LNUO6xz... | DB size: 11
[Round 12] Token: dfTQQwOdcyDQ... | DB size: 12
[Round 13] Token: T9JZOsMhX1gq... | DB size: 13
[Round 14] Token: qBwBxcoqj1Xa... | DB size: 14
[Round 15] Token: WvgIVmP95cdy... | DB size: 15
[Round 16] Token: 2D7O7UFVz7wX... | DB size: 16
[Round 17] Token: 4vAMjMCcLwmY... | DB size: 17
[Round 18] Token: Wy7FxRFVwbjO... | DB size: 18
[Round 19] Token: q558OI8yNmxr... | DB size: 19
[Round 20] Token: PUzIuCs4Ilyr... | DB size: 20
[Round 21] Token: Wl78CyqR1nGg... | DB size: 21
[Round 22] Token: PPyhPMSHHc99... | DB size: 22
[Round 23] Token: 7WGmylbuHvgN... | DB size: 23
[Round 24] Token: rLLdrZIIDWBn... | DB size: 24
[Round 25] Token: KkGSrNGgAEyD... | DB size: 25
[Round 26] Token: SPmN1XB0qGbb... | DB size: 26
[Round 27] Token: PN7d4VGpUajR... | DB size: 27
[Round 28] Token: dgG1vTfNxLsT... | DB size: 28
[Round 29] Token: 7zREsiCfmdBs... | DB size: 29
[Round 30] Token: ooDeMIEEwhFr... | DB size: 30
[Round 31] Token: ykqQCaA6yvql... | DB size: 31
[Round 32] Token: nvLqXXbAkCZZ... | DB size: 32
[Round 33] Token: 4BoINve4Z4N1... | DB size: 33
[Round 34] Token: tL39H0MTRXWt... | DB size: 34
[Round 35] Token: s7fzONnIO1vQ... | DB size: 35
[Round 36] Token: mS407vES7SAB... | DB size: 36
[Round 37] Token: kYb3jP6GEkEZ... | DB size: 37
[Round 38] Token: 8lbDYzzRDemL... | DB size: 38
[Round 39] Token: FhWJVGX3Y9Xl... | DB size: 39
[Round 40] Token: 1AAdLI85qNYu... | DB size: 40
[Round 41] Token: Lix73uZE1yvp... | DB size: 41
[Round 42] Token: Lix73uZE1yvp... | DB size: 42
[Round 43] Token: icIaLxh1iZ7F... | DB size: 43
[Round 44] Token: r2x0Jb1v4FUE... | DB size: 44
[Round 45] Token: oOzAwwg6a2aD... | DB size: 45
[Round 46] Token: 9IPfDSQss5wA... | DB size: 46
[Round 47] Token: NuRRJyzidVGR... | DB size: 47
[Round 48] Token: p01r3MJ8rF0M... | DB size: 48
[Round 49] Token: Dxp1R12ZN4Op... | DB size: 49
[Round 50] Token: kO56D0uZg528... | DB size: 50
[Round 51] Token: rZNw2AyQWdDe... | DB size: 51
[Round 52] Token: 3El9CxCy2x9x... | DB size: 52
[Round 53] Token: ICuijwVcKBSU... | DB size: 53
[Round 54] Token: HsORMLc1gFZZ... | DB size: 54
[Round 55] Token: BjJlxhIQlROY... | DB size: 55
[Round 56] Token: l464m3hH6jFr... | DB size: 56
[Round 57] Token: AvWfu7jBBBNV... | DB size: 57
[Round 58] Token: xKSek4l6ZWWr... | DB size: 58
[Round 59] Token: GFulTihFrFMV... | DB size: 59
[Round 60] Token: ct89BvLIzHyk... | DB size: 60
[Round 61] Token: MPCBpHHyR3g0... | DB size: 61
[Round 62] Token: 5o3rdyN7bp2f... | DB size: 62
[Round 63] Token: 0zU2E23f8Lfp... | DB size: 63
[Round 64] Token: 4TEaTReqSrW0... | DB size: 64
[Round 65] Token: 6kvwTcqe3xyA... | DB size: 65
[Round 66] Token: mIcndApDAN1R... | DB size: 66
[Round 67] Token: lXCX9jup8grl... | DB size: 67
[Round 68] Token: rk2b68dd8dZl... | DB size: 68
[Round 69] Token: PK2NzXhWADK7... | DB size: 69
[Round 70] Token: YWoAGiplM4mV... | DB size: 70
[Round 71] Token: XCZPSPgyWA3p... | DB size: 71
[Round 72] Token: MRnl0hiy2o4v... | DB size: 72
[Round 73] Token: 4CeP4jBBZAUQ... | DB size: 73
[Round 74] Token: j46FQoFq9cnG... | DB size: 74
[Round 75] Token: MRGeGDbPEUqT... | DB size: 75
[Round 76] Token: UlKK2ohKSU6o... | DB size: 76
[Round 77] Token: 8OfwzJhtBzTo... | DB size: 77
[Round 78] Token: iHg0D9zNodvj... | DB size: 78
[Round 79] Token: 11ovmql9tcOn... | DB size: 79
[Round 80] Token: TP8GVsw9SsTD... | DB size: 80
