╔════════════════════════════════════════════════════════════╗
║    RANDOM WALK ATTACK - Monte Carlo approach              ║
╚════════════════════════════════════════════════════════════╝

Token: REH8BWlnjwpO... | Total: 0
Token: REH8BWlnjwpO... | Total: 50000
Token: EJjzr8rfKzsD... | Total: 100000
Token: yDBSEBTLB8XA... | Total: 150000
Token: 1lhSBDamm3WI... | Total: 200000
Token: AHAkLaE4kF7d... | Total: 250000
Token: A2B8roy8LdP3... | Total: 300000
Token: wPmEOEHvAl5u... | Total: 350000
Token: BasypwYb7iWa... | Total: 400000
Token: PDosHMAOkJr3... | Total: 450000
Token: Y0F1oMm4M3eS... | Total: 500000
Token: Y0F1oMm4M3eS... | Total: 550000
Token: 2VzotHi12wTU... | Total: 600000
Token: fiXAlN2qmC5i... | Total: 650000
Token: 0f3crmybzl7e... | Total: 700000
Token: WGcb9rzkWsc2... | Total: 750000
Token: 1RKttC9frIql... | Total: 800000
Token: 6BD3nLLUVMUi... | Total: 850000
Token: sXhpWO75KjuB... | Total: 900000
Token: Iod2LhiF6KEC... | Total: 950000
Token: fX0DdmsYWfzO... | Total: 1000000
Token: rp8lpNEmhUqv... | Total: 1050000
Token: rp8lpNEmhUqv... | Total: 1100000
Token: qHFL6LoLKHWc... | Total: 1150000
Token: JwtOLbNdQtSQ... | Total: 1200000
Token: d4GQF4NB087c... | Total: 1250000
Token: p7R043Hhq9w1... | Total: 1300000
Token: AvOhcMK3DJTf... | Total: 1350000
Token: NFoQ76xzzwT0... | Total: 1400000
Token: dXDQcUZYRiLh... | Total: 1450000
Token: QnK26UrtM5fm... | Total: 1500000
Token: fvqxtnjfiObu... | Total: 1550000
Token: fvqxtnjfiObu... | Total: 1600000
Token: 7uIyj7QxoKsX... | Total: 1650000
Token: 52BsbPj0tIwH... | Total: 1700000
Token: 6ITeGGtBFSEu... | Total: 1750000
Token: iRRmm7YUBMAy... | Total: 1800000
Token: V1gSGQ3acx5A... | Total: 1850000
Token: jKi0gYQe5xkb... | Total: 1900000
Token: dz813qXflgRr... | Total: 1950000
Token: x4n5LhbCImGG... | Total: 2000000
Token: P87Ja8dQ5tD8... | Total: 2050000
Token: knpCuePc3Uof... | Total: 2100000
Token: GhtyisvJMsKg... | Total: 2150000
Token: GhtyisvJMsKg... | Total: 2200000
Token: Zn3ojEsI9xfP... | Total: 2250000
Token: l2HIY7I0Pa9S... | Total: 2300000
Token: WKRLrOVNElXv... | Total: 2350000
Token: Dvq9x40bIQuK... | Total: 2400000
Token: PUMPxofQZD5e... | Total: 2450000
Token: zPY1nwcpsKpb... | Total: 2500000
